"created_at","modified_at","id","rise_bank_code","idirect_bank_name","bse_bank_name","bse_abbr"
"","",74,47,"KOTAK MAHINDRA BANK LIMITED","KOTAK MAHINDRA BANK LIMITED","162"
"","",75,48,"Maharashtra Gramin Bank","Maharashtra Gramin Bank","MGB"
"","",76,49,"NKGSB COOPERATIVE BANK LIMITED","NKGSB COOPERATIVE BANK LIMITED","NKB"
"","",77,50,"PAYTM PAYMENTS BANK LTD","PAYTM PAYMENTS BANK LTD","PYTM"
"","",78,51,"PUNJAB AND SIND BANK","PUNJAB AND SIND BANK","PSB"
"","",79,52,"Punjab National Bank","PUNJAB NATIONAL BANK","PNB"
"","",80,52,"PUNJAB NATIONAL BANK","PUNJAB NATIONAL BANK","PNB"
"","",81,53,"RAJKOT NAGRIK SAHAKARI BANK LIMITED","RAJKOT NAGRIK SAHAKARI BANK LIMITED","RNS"
"","",82,54,"RATNAKAR BANK","RBL Bank Limited","RTN"
"","",83,55,"SARASWAT COOPERATIVE BANK LIMITED","SARASWAT COOPERATIVE BANK LIMITED","SWB"
"","",84,56,"SBM BANK MAURITIUS LIMITED","SBM BANK INDIA LIMITED","SOM"
"","",85,57,"SOUTH INDIAN BANK","SOUTH INDIAN BANK","SIB"
"","",86,57,"South Indian Bank","SOUTH INDIAN BANK","SIB"
"","",87,58,"Standard Chartered Bank","STANDARD CHARTERED BANK","SCB"
"","",88,58,"STANDARD CHARTERED BANK","STANDARD CHARTERED BANK","SCB"
"","",89,59,"STATE BANK OF INDIA FOR CORPORATE","STATE BANK OF INDIA","SBI"
"","",90,59,"STATE BANK OF INDIA","STATE BANK OF INDIA","SBI"
"","",91,59,"SBI","STATE BANK OF INDIA","SBI"
"","",92,60,"SURYODAY SMALL FINANCE BANK LIMITED","SURYODAY SMALL FINANCE BANK LIMITED","SRB"
"","",93,61,"SUTEX COOPERATIVE BANK LIMITED","SUTEX COOPERATIVE BANK LIMITED","SUT"
"","",94,62,"TAMILNAD MERCANTILE BANK LIMITED","TAMILNAD MERCANTILE BANK LIMITED","TMB"
"","",95,62,"Tamilnad Mercantile Bank for education programme","TAMILNAD MERCANTILE BANK LIMITED","TMB"
"","",96,63,"THE COSMOS CO OPERATIVE BANK LIMITED","THE COSMOS CO OPERATIVE BANK LIMITED","COB"
"","",97,64,"THE GUJARAT STATE COOPERATIVE BANK LIMITED","THE GUJARAT STATE COOPERATIVE BANK LIMITED","GSB"
"","",98,65,"THE MEHSANA URBAN COOPERATIVE BANK","THE MEHSANA URBAN COOPERATIVE BANK","MSN"
"","",99,66,"THE NAINITAL BANK LIMITED","THE NAINITAL BANK LIMITED","NTB"
"","",100,67,"THE SHAMRAO VITHAL COOPERATIVE BANK","THE SHAMRAO VITHAL COOPERATIVE BANK","SVC"
"","",101,68,"THE SURATH PEOPLES COOPERATIVE BANK LIMITED","THE SURAT PEOPLES COOPERATIVE BANK LIMITED","SPC"
"","",102,69,"THE TAMIL NADU STATE APEX COOPERATIVE BANK","THE TAMIL NADU STATE APEX COOPERATIVE BANK","TNC"
"","",103,70,"THE THANE BHARAT SAHAKARI BANK LIMITED","THE THANE BHARAT SAHAKARI BANK LIMITED","TBB"
"","",104,71,"THE VARACHHA COOPERATIVE BANK LIMITED","THE VARACHHA COOPERATIVE BANK LIMITED","VRB"
"","",105,72,"THE VISHWESHWAR SAHAKARI BANK LIMITED","THE VISHWESHWAR SAHAKARI BANK LIMITED","VSB"
"","",106,73,"THE ZOROASTRIAN COOPERATIVE BANK LIMITED","THE ZOROASTRIAN COOPERATIVE BANK LIMITED","ZOB"
"","",107,74,"TJSB SAHAKARI BANK LTD","TJSB SAHAKARI BANK LTD","TJB"
"","",108,75,"UCO BANK","UCO BANK","UCO"
"","",109,76,"UJJIVAN SMALL FINANCE BANK","Ujjivan Small Finance Bank Limited","UJV"
"","",110,77,"UNION BANK OF INDIA","UNION BANK OF INDIA","UBI"
"","",111,77,"UBI","UNION BANK OF INDIA","UBI"
"","",112,78,"UTKARSH SMALL FINANCE BANK","UTKARSH SMALL FINANCE BANK","UTK"
"","",113,79,"VASAI VIKAS SAHAKARI BANK LIMITED","VASAI VIKAS SAHAKARI BANK LIMITED","VVS"
"","",114,80,"YES BANK","YES BANK","YBK"
"","",115,81,"YES BANK","ANDHRA PRADESH GRAMEENA VIKAS BANK","APGX"
"","",116,82,"YES BANK","FINO PAYMENTS BANK","FINO"
"","",117,83,"YES BANK","JIO PAYMENTS BANK LIMITED","JIOP"
"","",118,84,"YES BANK","KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED","KAI"
"","",119,85,"YES BANK","NORTH EAST SMALL FINANCE BANK LIMITED","NEB"
"","",120,86,"YES BANK","SURAT NATIONAL COOPERATIVE BANK LIMITED","SUR"
"","",121,87,"YES BANK","TELANGANA STATE COOP APEX BANK","TSA"
"","",122,88,"YES BANK","THE HASTI COOP BANK LTD","HCB"
