"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1782;"CHENNAI";"CHENNAI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1783;"MADURAI";"MADURAI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1784;"MEHSANA";"MEHSANA";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1785;"MIDNAPUR";"MIDNAPUR";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1786;"MANGALORE";"MANGALORE";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1787;"MUVATTUPUZHA";"MUVATTUPUZHA";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1788;"MUSSOORIE";"MUSSOORIE";"UTTARAKHAND";"UTTARAKHAND";"5";"32";"UTTARAKHAND";"UC"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1789;"MAVELIKARA";"MAVELIKARA";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1790;"MUZAFFAR NAGAR";"MUZAFFAR NAGAR";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1791;"NAGDA";"NAGDA";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1792;"NARNAUL";"NARNAUL";"HARYANA";"HARYANA";"6";"10";"HARYANA";"HA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1793;"NABHA";"NABHA";"PUNJAB";"PUNJAB";"3";"25";"PUNJAB";"PU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1794;"NILAMBUR";"NILAMBUR";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1795;"NAMAKKAL";"NAMAKKAL";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1796;"SRIKAKULAM";"SRIKAKULAM";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1797;"RAMGARH";"RAMGARH";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1798;"BATALA";"BATALA";"PUNJAB";"PUNJAB";"3";"25";"PUNJAB";"PU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1799;"JALPAIGURI";"JALPAIGURI";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1800;"JODHPUR";"JODHPUR";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1801;"NEDUMANGAD";"NEDUMANGAD";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1802;"NIPANI";"NIPANI";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1803;"NELLAYI";"NELLAYI";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1804;"NELLORE";"NELLORE";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1805;"NOWGONG";"NOWGONG";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1806;"NAGPUR";"NAGPUR";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1807;"NAVSARI";"NAVSARI";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1808;"KARAIKAL";"KARAIKAL";"PONDICHERRY";"PONDICHERRY";"34";"24";"PONDICHERRY";"PO"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1809;"VISNAGAR";"VISNAGAR";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1810;"SUJANGARH";"SUJANGARH";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1811;"MADHEPURA";"MADHEPURA";"BIHAR";"BIHAR";"10";"5";"BIHAR";"BH"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1812;"ANDAMAN";"ANDAMAN";"ANDAMAN AND NICOBAR";"ANDAMAN AND NICOBAR";"35";"1";"ANDAMAN AND NICOBAR";"AN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1813;"THAMALLAKKAL";"THAMALLAKKAL";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1814;"THANGADH";"THANGADH";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1815;"THAPOVANAM";"THAPOVANAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1816;"THAYILPATTI";"THAYILPATTI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1817;"THURUTHICAD";"THURUTHICAD";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
